,Years,ArcelorMittal - ARIMA,ArcelorMittal - SVR,ArcelorMittal - Linear,CBA - ARIMA,CBA - SVR,CBA - Linear,Intercement - ARIMA,Intercement - SVR,Intercement - Linear,Suzano - ARIMA,Suzano - SVR,Suzano - Linear,Ternium Brasil - ARIMA,Ternium Brasil - SVR,Ternium Brasil - Linear,Votorantim - ARIMA,Votorantim - SVR,Votorantim - Linear
0,2024,29.129499860090547,20.923557250795966,27.29200824285681,2.986370311946367,2.7049349337592345,3.764461141428569,1.570868117954668,1.5267868401978089,1.3774357225454565,3.9952360284570796,3.7894545027345763,4.139435329750029,11.5710373110678,11.907161614628059,12.264164562545432,14.75594914570204,14.734012994974814,14.93981678055556
1,2025,29.846348053381455,20.268292091774867,29.030879672142873,2.1099939429815198,2.61768621408206,4.048729442857166,1.5013425276464099,1.522038761107034,1.3566785100909087,3.384673201787213,3.5413443759697136,4.37238915177943,11.573243710266011,11.879436082214246,12.45049382736363,14.052846750133844,14.458713228883017,15.007937629555556
2,2026,27.19770480329573,19.944908636835,30.769751101428483,2.105443584109115,2.564327813550465,4.332997744285763,1.3970209823797677,1.5179965306794299,1.335921297636368,3.1545370759310627,3.3017375803936964,4.605342973808831,10.52598152401078,11.776468045950391,12.636823092181771,13.90082685767732,14.324603170347478,15.076058478555552
3,2027,23.157126518066313,19.851068498985757,32.50862253071409,2.343976539698003,2.544528740240489,4.617266045714359,1.3235305293977195,1.5158743945590507,1.31516408518182,2.985650826819574,3.1068861267341887,4.838296795838232,11.40454577675372,11.671361589989388,12.82315235699997,14.689608561025173,14.28467862103926,15.144179327555548
4,2028,19.086204239704404,19.83468094473227,34.2474939599997,2.661683642147125,2.5404449207655415,4.901534347142842,1.3127927554908547,1.5150543661246931,1.2944068727272722,2.8522113760127112,2.9683243975390594,5.0712506178676335,10.724455531461878,11.60077717752098,13.009481621818168,14.290249815283104,14.278100375950117,15.212300176555544
5,2029,16.34380115267483,19.832949509386083,35.986365389285766,2.9062183804595936,2.539966576180345,5.185802648571439,1.3668651824809974,1.514808270736872,1.2736496602727314,2.746811850785143,2.880513464578431,5.304204439897035,11.298382932524467,11.565521770936224,13.195810886636309,14.650012128121706,14.277957070365247,15.28042102555554
6,2030,15.832588991453337,19.832838670762314,37.725236818571375,2.9964920315509125,2.539933975452329,5.470070950000036,1.4583453356868057,1.5147495874142016,1.2528924478181835,2.6635600540278856,2.830379573118299,5.537158261926493,10.856935215118607,11.551868441991655,13.382140151454507,14.394811076711205,14.278163031171873,15.348541874555565
