,Years,A-1 - BAU,A-1 - DBM,A-1 - GBM,C-1 - BAU,C-1 - DBM,C-1 - GBM,C-2 - BAU,C-2 - DBM,C-2 - GBM,P-1 - BAU,P-1 - DBM,P-1 - GBM,S-1 - BAU,S-1 - DBM,S-1 - GBM,S-2 - BAU,S-2 - DBM,S-2 - GBM
0,2025,1.341908,1.2521846586659806,1.3209801979414837,1.5793060300000001,1.5190198506662174,1.554675873546904,13.513428220000002,13.340974681489774,13.302678786417275,2.28398765,2.074743225780077,2.2483675915136536,23.632865329999998,18.060260723978192,23.264297643018615,8.940516039999999,9.801580517232598,8.801083716781037
1,2026,1.341908,1.2424924033567686,1.3003787766028083,1.5793060300000001,1.5197300329696704,1.5304298380908663,13.513428220000002,13.317894398062554,13.095216107537526,2.28398765,1.9210929889700936,2.2133030476626736,23.632865329999998,17.756772360926462,22.90147797423096,8.940516039999999,9.772826204364655,8.663825918239539
2,2027,1.341908,1.2394754965143426,1.2800986458950108,1.5793060300000001,1.5199246574806577,1.506561933051167,13.513428220000002,13.317618093480789,12.890988924592019,2.28398765,1.7763511957505471,2.1787853548871663,23.632865329999998,17.540633695080835,22.54431668009442,8.940516039999999,9.788235121203588,8.528708731452992
3,2028,1.341908,1.2388800710955787,1.2601347951118977,1.5793060300000001,1.5199722798657707,1.4830662612735261,13.513428220000002,13.319518807117555,12.689946778221039,2.28398765,1.6570532061927814,2.1448059847402763,23.632865329999998,17.448468667234028,22.19272551510731,8.940516039999999,9.823698499845452,8.395698772389787
4,2029,1.341908,1.2388027362448895,1.240482291692028,1.5793060300000001,1.5199826346661967,1.4599370175730666,13.513428220000002,13.319376178782068,12.492039996006673,2.28398765,1.569027716121235,2.111356541781023,23.632865329999998,17.42302375334566,21.846617610005655,8.940516039999999,9.856964276615619,8.264763177660862
5,2030,1.341908,1.238796014260476,1.22113628,1.5793060300000001,1.5199846148312555,1.4371684873000001,13.513428220000002,13.318683390851845,12.297219680200001,2.28398765,1.5102010666891854,2.0784287615,23.632865329999998,17.41834002766063,21.505907450299997,8.940516039999999,9.878515706163213,8.1358695964
